C.3	1.7	0.107	*
C.2	1.7	0.107	*
C.cat	1.7	0.107	*
C.ar	1.7	0.107	*
C.1	1.7	0.107	*
N.3	1.55	0.095	*
N.2	1.55	0.095	*
N.1	1.55	0.095	*
O.3	1.52	0.116	*
O.2	1.52	0.116	*
O.co2	1.52	0.116	*
S.3	1.8	0.314	*
N.ar	1.55	0.095	*
P.3	1.8	0.314	*
H	1.5	0.042	*
Br	1.85	0.434	*
Cl	1.75	0.314	*
F	1.47	0.109	*
I	1.98	0.623	*
S.2	1.8	0.314	*
N.pl3	1.55	0.095	*
LP	1e-05	1e-05	*
Na	1.2	0.4	*
K	1.2	0.4	*
Ca	1.2	0.6	*
Li	1.2	0.4	*
Al	1.2	0.042	*
Du	0	0	*
Du.C	0	0	*
Si	2.1	0.042	*
N.am	1.55	0.095	*
S.o	1.7	0.314	*
S.o2	1.7	0.314	*
N.4	1.55	0.095	*
HEV	1.7	0.107	QSPR_FRAG
ANY	1.7	0.107	QSPR_FRAG
HAL	1.75	0.314	QSPR_FRAG
HET	1.55	0.095	QSPR_FRAG
